Freq.	V(n003)
1.00000000000000e+01	-3.53640287659863e-06,1.79843390109204e-06
1.12201845430196e+01	-4.45199059571334e-06,2.02509966200840e-06
1.25892541179417e+01	-5.60465255449731e-06,2.28240294229662e-06
1.41253754462275e+01	-7.05577640667182e-06,2.57531157206124e-06
1.58489319246111e+01	-8.88264644902788e-06,2.90990681852853e-06
1.77827941003892e+01	-1.11825607318730e-05,3.29372856108847e-06
1.99526231496888e+01	-1.40780148186029e-05,3.73624897116766e-06
2.23872113856834e+01	-1.77232287436180e-05,4.24952604344939e-06
2.51188643150958e+01	-2.23123655392448e-05,4.84910932632318e-06
2.81838293126445e+01	-2.80898802476400e-05,5.55529985999686e-06
3.16227766016838e+01	-3.53635525269705e-05,6.39490823582186e-06
3.54813389233575e+01	-4.45209000471208e-05,7.40371391679485e-06
3.98107170553497e+01	-5.60498517841082e-05,8.62991270028378e-06
4.46683592150963e+01	-7.05647901739189e-05,1.01389576609702e-05
5.01187233627272e+01	-8.88393617974238e-05,1.20203665668045e-05
5.62341325190348e+01	-1.11847824424745e-04,1.43973062005588e-05
6.30957344480192e+01	-1.40817165257439e-04,1.74401005608109e-05
7.07945784384137e+01	-1.77292818894882e-04,2.13852873973914e-05
7.94328234724280e+01	-2.23221570418025e-04,2.65625258350261e-05
8.91250938133744e+01	-2.81056197473143e-04,3.34326229569050e-05
9.99999999999998e+01	-3.53887650619763e-04,4.26413232543656e-05
1.12201845430196e+02	-4.45612183102554e-04,5.50954719377777e-05
1.25892541179416e+02	-5.61142945535019e-04,7.20709847405375e-05
1.41253754462275e+02	-7.06678339710364e-04,9.53661222959039e-05
1.58489319246111e+02	-8.90043150298995e-04,1.27519458808196e-04
1.77827941003892e+02	-1.12112356284808e-03,1.72120538047954e-04
1.99526231496888e+02	-1.41242430374426e-03,2.34253898673980e-04
2.23872113856833e+02	-1.77978641976638e-03,3.21136111139865e-04
2.51188643150957e+02	-2.24331957588540e-03,4.43034283412961e-04
2.81838293126445e+02	-2.82862660640186e-03,6.14599245194674e-04
3.16227766016837e+02	-3.56843665263194e-03,8.56818050052087e-04
3.54813389233575e+02	-4.50482827103069e-03,1.19990832332406e-03
3.98107170553496e+02	-5.69233790399262e-03,1.68767942850413e-03
4.46683592150962e+02	-7.20245639778269e-03,2.38424925554931e-03
5.01187233627271e+02	-9.13040658326923e-03,3.38469319682116e-03
5.62341325190348e+02	-1.16058561754683e-02,4.83257558449254e-03
6.30957344480192e+02	-1.48107621818083e-02,6.95022750455420e-03
7.07945784384136e+02	-1.90108069082338e-02,1.00942440647349e-02
7.94328234724279e+02	-2.46141734649025e-02,1.48648886295696e-02
8.91250938133743e+02	-3.22887682327384e-02,2.23418833066957e-02
9.99999999999997e+02	-4.32134985723422e-02,3.46528656946008e-02
1.12201845430196e+03	-5.96606666518679e-02,5.65632445139043e-02
1.25892541179416e+03	-8.64123820876551e-02,1.00977249398977e-01
1.41253754462275e+03	-1.32792360115524e-01,2.15696350589934e-01
1.58489319246111e+03	-1.10835767367799e-01,7.18611214772917e-01
1.77827941003892e+03	1.19700422958131e+00,-2.96201032292687e-01
1.99526231496887e+03	4.30659463117466e-01,-5.06683949186684e-01
2.23872113856833e+03	2.10277130326239e-01,-7.34352595345491e-01
2.51188643150957e+03	-8.95161403958467e-01,-1.51384152164153e-01
2.81838293126444e+03	-1.85545657723595e-01,1.39544042867957e-01
3.16227766016837e+03	-6.35758572572501e-02,7.25307165108667e-02
3.54813389233574e+03	-2.83824060001723e-02,4.09264865314179e-02
3.98107170553496e+03	-1.43621796306292e-02,2.47768967681302e-02
4.46683592150961e+03	-7.79706886127700e-03,1.57034478115525e-02
5.01187233627270e+03	-4.42173435410953e-03,1.02605342172576e-02
5.62341325190347e+03	-2.58097515488645e-03,6.84592416948799e-03
6.30957344480190e+03	-1.53683275270147e-03,4.63573730000286e-03
7.07945784384135e+03	-9.28180793461092e-04,3.17288003666402e-03
7.94328234724278e+03	-5.66412480352296e-04,2.18883887615149e-03
8.91250938133741e+03	-3.48312917728562e-04,1.51892265076044e-03
9.99999999999995e+03	-2.15435975856989e-04,1.05875692655679e-03
1.12201845430196e+04	-1.33837813746401e-04,7.40522454480576e-04
1.25892541179416e+04	-8.34271661860852e-05,5.19303012095203e-04
1.41253754462275e+04	-5.21400195448169e-05,3.64911214075023e-04
1.58489319246111e+04	-3.26525645561914e-05,2.56827623105652e-04
1.77827941003891e+04	-2.04810602409640e-05,1.80981528038400e-04
1.99526231496887e+04	-1.28625624595849e-05,1.27658202427461e-04
2.23872113856833e+04	-8.08587064897712e-06,9.01145662635169e-05
2.51188643150957e+04	-5.08698189523758e-06,6.36506302831832e-05
2.81838293126444e+04	-3.20226403327207e-06,4.49797213863664e-05
3.16227766016836e+04	-2.01679776189805e-06,3.17975661751074e-05
3.54813389233573e+04	-1.27066839434176e-06,2.24853681162602e-05
3.98107170553495e+04	-8.00815494697843e-07,1.59040694732225e-05
4.46683592150960e+04	-5.04819355364668e-07,1.12511638867152e-05
5.01187233627269e+04	-3.18288783615058e-07,7.96069136800990e-06
5.62341325190346e+04	-2.00711174666310e-07,5.63319773445970e-06
6.30957344480189e+04	-1.26582396592855e-07,3.98657154487822e-06
7.07945784384133e+04	-7.98391347285347e-08,2.82147465703184e-06
7.94328234724276e+04	-5.03606074586052e-08,1.99700044524574e-06
8.91250938133740e+04	-3.17681185514951e-08,1.41351475610351e-06
1.00000000000000e+05	-2.00407003091745e-08,1.00054943146420e-06
