Freq.	V(n003)
1.00000000000000e+01	-3.01066008376657e-09,-3.73558341260696e-08
1.12201845430196e+01	-3.81426510669540e-09,-5.27681594976291e-08
1.25892541179417e+01	-4.84002528866492e-09,-7.45399252715548e-08
1.41253754462275e+01	-6.15370216710388e-09,-1.05295633854356e-07
1.58489319246111e+01	-7.84290787772563e-09,-1.48743267657143e-07
1.77827941003892e+01	-1.00255877000049e-08,-2.10121868143365e-07
1.99526231496888e+01	-1.28623549573921e-08,-2.96834227612242e-07
2.23872113856834e+01	-1.65746480805301e-08,-4.19341425596650e-07
2.51188643150958e+01	-2.14717621252092e-08,-5.92427881904239e-07
2.81838293126445e+01	-2.79915083559329e-08,-8.36990937804257e-07
3.16227766016838e+01	-3.67619376409455e-08,-1.18257341768366e-06
3.54813389233575e+01	-4.86958038009984e-08,-1.67094935674472e-06
3.98107170553497e+01	-6.51361653774544e-08,-2.36120392077085e-06
4.46683592150963e+01	-8.80822106794257e-08,-3.33693561846895e-06
5.01187233627272e+01	-1.20541428668333e-07,-4.71647719353032e-06
5.62341325190348e+01	-1.67081499626493e-07,-6.66741777800318e-06
6.30957344480192e+01	-2.34699027804434e-07,-9.42726737312907e-06
7.07945784384137e+01	-3.34192772056991e-07,-1.33329169270141e-05
7.94328234724280e+01	-4.82343332151701e-07,-1.88627366031032e-05
8.91250938133744e+01	-7.05387617995913e-07,-2.66969109078914e-05
9.99999999999998e+01	-1.04458256962269e-06,-3.78042282082477e-05
1.12201845430196e+02	-1.56516001641226e-06,-5.35674942555490e-05
1.25892541179416e+02	-2.37082478074537e-06,-7.59657871028807e-05
1.41253754462275e+02	-3.62739146648220e-06,-1.07841177047080e-04
1.58489319246111e+02	-5.60164425125441e-06,-1.53292441397890e-04
1.77827941003892e+02	-8.72587655548707e-06,-2.18262435926917e-04
1.99526231496888e+02	-1.37064206130617e-05,-3.11425809492641e-04
2.23872113856833e+02	-2.17089519458833e-05,-4.45551964819207e-04
2.51188643150957e+02	-3.46808568252360e-05,-6.39638047304103e-04
2.81838293126445e+02	-5.59250947853856e-05,-9.22324796685155e-04
3.16227766016837e+02	-9.11510905754025e-05,-1.33752051491661e-03
3.54813389233575e+02	-1.50467537170686e-04,-1.95397409349522e-03
3.98107170553496e+02	-2.52328192089705e-04,-2.88223721381327e-03
4.46683592150962e+02	-4.31777393775368e-04,-4.30621873556051e-03
5.01187233627271e+02	-7.58895940549445e-04,-6.54550379181808e-03
5.62341325190348e+02	-1.38385914190913e-03,-1.01880156578418e-02
6.30957344480192e+02	-2.66066430926314e-03,-1.64010684438726e-02
7.07945784384136e+02	-5.54703951272112e-03,-2.77613113437518e-02
7.94328234724279e+02	-1.32536051557253e-02,-5.09080254512456e-02
8.91250938133743e+02	-4.14754909375024e-02,-1.07507418116118e-01
9.99999999999997e+02	-2.60260312821650e-01,-2.72638616197943e-01
1.12201845430196e+03	-3.09915706379532e-01,5.20877902008374e-01
1.25892541179416e+03	-1.31611730910407e-02,3.54236783964491e-01
1.41253754462275e+03	4.85312840665324e-02,3.34477378587083e-01
1.58489319246111e+03	1.41002427455651e-01,4.02895877842397e-01
1.77827941003892e+03	4.89576955561227e-01,5.19292558236354e-01
1.99526231496887e+03	8.85689785581547e-01,-3.22363284300011e-01
2.23872113856833e+03	2.45407427400031e-01,-4.66474285033190e-01
2.51188643150957e+03	8.22605184302946e-02,-3.56599202751187e-01
2.81838293126444e+03	1.94183555130939e-02,-3.32201666956330e-01
3.16227766016837e+03	-8.39475186305064e-02,-4.20503356006883e-01
3.54813389233574e+03	-7.60057262089746e-01,1.50135908783843e-02
3.98107170553496e+03	-8.69593139410619e-02,1.67292186265980e-01
4.46683592150961e+03	-2.17127656395485e-02,7.12872012081366e-02
