Freq.	V(n003)
1.00000000000000e+01	-1.53328129371673e-07,-9.97130136446151e-07
1.12201845430196e+01	-1.99547255164410e-07,-1.40841031587168e-06
1.25892541179417e+01	-2.61546051352633e-07,-1.98930185487363e-06
1.41253754462275e+01	-3.45639795971613e-07,-2.80973132416410e-06
1.58489319246111e+01	-4.61082680265601e-07,-3.96843801004065e-06
1.77827941003892e+01	-6.21591006581347e-07,-5.60483329724378e-06
1.99526231496888e+01	-8.47706307885906e-07,-7.91573152259798e-06
2.23872113856834e+01	-1.17047615191319e-06,-1.11789456437352e-05
2.51188643150958e+01	-1.63720603908059e-06,-1.57865506949742e-05
2.81838293126445e+01	-2.32047139367344e-06,-2.22917517468455e-05
3.16227766016838e+01	-3.33226710588742e-06,-3.14748769637954e-05
3.54813389233575e+01	-4.84626022556679e-06,-4.44362223825532e-05
3.98107170553497e+01	-7.13283105939653e-06,-6.27265355435636e-05
4.46683592150963e+01	-1.06143048194656e-05,-8.85301493430120e-05
5.01187233627272e+01	-1.59520664907096e-05,-1.24921568578240e-04
5.62341325190348e+01	-2.41840227717903e-05,-1.76224179205703e-04
6.30957344480192e+01	-3.69415515907241e-05,-2.48510307589225e-04
7.07945784384137e+01	-5.67918945690033e-05,-3.50295780769850e-04
7.94328234724280e+01	-8.77783890628855e-05,-4.93500047851885e-04
8.91250938133744e+01	-1.36272431539272e-04,-6.94765090887998e-04
9.99999999999998e+01	-2.12316013286754e-04,-9.77252099027221e-04
1.12201845430196e+02	-3.31734981640208e-04,-1.37306133259657e-03
1.25892541179416e+02	-5.19460499370561e-04,-1.92644030756053e-03
1.41253754462275e+02	-8.14738986351088e-04,-2.69794176274314e-03
1.58489319246111e+02	-1.27928249388095e-03,-3.76963142093157e-03
1.77827941003892e+02	-2.00997375109040e-03,-5.25125800891403e-03
1.99526231496888e+02	-3.15857630378748e-03,-7.28685216074665e-03
2.23872113856833e+02	-4.96211072574657e-03,-1.00602648788039e-02
2.51188643150957e+02	-7.78923220739892e-03,-1.37962154028778e-02
2.81838293126445e+02	-1.22100638480049e-02,-1.87496048900265e-02
3.16227766016837e+02	-1.90990895723009e-02,-2.51685255790579e-02
3.54813389233575e+02	-2.97812872739449e-02,-3.32026010189503e-02
3.98107170553496e+02	-4.62257667393109e-02,-4.27030580421153e-02
4.46683592150962e+02	-7.12650698699572e-02,-5.28173891585173e-02
5.01187233627271e+02	-1.08736682143913e-01,-6.12167361447879e-02
5.62341325190348e+02	-1.63225686863014e-01,-6.27399869485664e-02
6.30957344480192e+02	-2.38600218323734e-01,-4.73734044206495e-02
7.07945784384136e+02	-3.33791333430305e-01,1.59175102196404e-03
7.94328234724279e+02	-4.34518233853074e-01,1.05569138144575e-01
8.91250938133743e+02	-5.05299334942879e-01,2.77697438702712e-01
9.99999999999997e+02	-4.98645282385144e-01,4.99336250506742e-01
1.12201845430196e+03	-3.91345310545883e-01,7.14643234221416e-01
1.25892541179416e+03	-2.09208590696225e-01,8.67980110568946e-01
1.41253754462275e+03	-2.40055591163024e-03,9.41562158509702e-01
1.58489319246111e+03	1.91253997687563e-01,9.50208681212424e-01
1.77827941003892e+03	3.55856025513542e-01,9.17558864994152e-01
1.99526231496887e+03	4.89513352425400e-01,8.62696729662192e-01
2.23872113856833e+03	5.95950941275006e-01,7.97881471021307e-01
2.51188643150957e+03	6.80125064645457e-01,7.30231363805899e-01
2.81838293126444e+03	7.46593029605973e-01,6.63670880960889e-01
3.16227766016837e+03	7.99109442382651e-01,6.00272710672660e-01
3.54813389233574e+03	8.40650196265607e-01,5.41055895386645e-01
3.98107170553496e+03	8.73545995459860e-01,4.86438996530332e-01
4.46683592150961e+03	8.99619649531480e-01,4.36496614491710e-01
5.01187233627270e+03	9.20300000672729e-01,3.91107114165937e-01
5.62341325190347e+03	9.36710545235094e-01,3.50039797847020e-01
6.30957344480190e+03	9.49737177322224e-01,3.13007536973149e-01
7.07945784384135e+03	9.60079991324398e-01,2.79699045386976e-01
7.94328234724278e+03	9.68293152547931e-01,2.49798748216885e-01
8.91250938133741e+03	9.74815818163391e-01,2.22998875021160e-01
9.99999999999995e+03	9.79996278570050e-01,1.99006577086700e-01
1.12201845430196e+04	9.84110904678774e-01,1.77547823247733e-01
1.25892541179416e+04	9.87379075785114e-01,1.58369205177692e-01
1.41253754462275e+04	9.89974972420248e-01,1.41238396313866e-01
1.58489319246111e+04	9.92036909740896e-01,1.25943760371532e-01
1.77827941003891e+04	9.93674733530736e-01,1.12293441945494e-01
1.99526231496887e+04	9.94975685778955e-01,1.00114162054622e-01
2.23872113856833e+04	9.96009059033580e-01,8.92498670714045e-02
2.51188643150957e+04	9.96829890952409e-01,7.95603286506838e-02
2.81838293126444e+04	9.97481897658033e-01,7.09197574829082e-02
3.16227766016836e+04	9.97999803081009e-01,6.32154699255154e-02
3.54813389233573e+04	9.98411188848318e-01,5.63466304062432e-02
3.98107170553495e+04	9.98737963500714e-01,5.02230816053289e-02
4.46683592150960e+04	9.98997529424314e-01,4.47642671898774e-02
5.01187233627269e+04	9.99203709717338e-01,3.98982471657090e-02
5.62341325190346e+04	9.99367484393179e-01,3.55608029430204e-02
6.30957344480189e+04	9.99497575148551e-01,3.16946274328332e-02
7.07945784384133e+04	9.99600909850622e-01,2.82485945180390e-02
7.94328234724276e+04	9.99682991486100e-01,2.51771018088681e-02
8.91250938133740e+04	9.99748191224291e-01,2.24394805123943e-02
1.00000000000000e+05	9.99799981203234e-01,1.99994663911455e-02
