Freq.	V(n003)
1.00000000000000e+01	-4.36893353114017e-08,-3.24390685976748e-07
1.12201845430196e+01	-5.57806472776143e-08,-4.58219701307727e-07
1.25892541179417e+01	-7.14584344968350e-08,-6.47262629470647e-07
1.41253754462275e+01	-9.19179543369767e-08,-9.14300722296192e-07
1.58489319246111e+01	-1.18819971088652e-07,-1.29151603072875e-06
1.77827941003892e+01	-1.54502620470524e-07,-1.82437167155398e-06
1.99526231496888e+01	-2.02301626258611e-07,-2.57709447232992e-06
2.23872113856834e+01	-2.67038287760434e-07,-3.64042229900196e-06
2.51188643150958e+01	-3.55768460721092e-07,-5.14255258004274e-06
2.81838293126445e+01	-4.78939158168447e-07,-7.26461663857202e-06
3.16227766016838e+01	-6.52183895414235e-07,-1.02625540106378e-05
3.54813389233575e+01	-8.99121793265163e-07,-1.44980396398846e-05
3.98107170553497e+01	-1.25573791413922e-06,-2.04822211224709e-05
4.46683592150963e+01	-1.77725995576080e-06,-2.89375907185292e-05
5.01187233627272e+01	-2.54898392290696e-06,-4.08855447784361e-05
5.62341325190348e+01	-3.70335863897892e-06,-5.77703547247929e-05
6.30957344480192e+01	-5.44700918453389e-06,-8.16347972005614e-05
7.07945784384137e+01	-8.10357534533460e-06,-1.15369158414364e-04
7.94328234724280e+01	-1.21817719114365e-05,-1.63064602261665e-04
8.91250938133744e+01	-1.84837769047730e-05,-2.30515241157293e-04
9.99999999999998e+01	-2.82782980950446e-05,-3.25932550327407e-04
1.12201845430196e+02	-4.35777526687763e-05,-4.60963829481649e-04
1.25892541179416e+02	-6.75837919167858e-05,-6.52147490710315e-04
1.41253754462275e+02	-1.05406538867424e-04,-9.22998553222678e-04
1.58489319246111e+02	-1.65231915821492e-04,-1.30700798300596e-03
1.77827941003892e+02	-2.60228802851309e-04,-1.85197541355337e-03
1.99526231496888e+02	-4.11690724861859e-04,-2.62630193155156e-03
2.23872113856833e+02	-6.54264884532833e-04,-3.72818960131551e-03
2.51188643150957e+02	-1.04476876095313e-03,-5.29919544086486e-03
2.81838293126445e+02	-1.67729914361507e-03,-7.54438153572011e-03
3.16227766016837e+02	-2.70965781860743e-03,-1.07625695241218e-02
3.54813389233575e+02	-4.41076556971435e-03,-1.53922133573225e-02
3.98107170553496e+02	-7.24848912450903e-03,-2.20814425448459e-02
4.46683592150962e+02	-1.20588805585022e-02,-3.17947238299462e-02
5.01187233627271e+02	-2.03884355930417e-02,-4.59701236198067e-02
5.62341325190348e+02	-3.52272234007612e-02,-6.67216240215308e-02
6.30957344480192e+02	-6.26831976414037e-02,-9.69445878779048e-02
7.07945784384136e+02	-1.16029496534722e-01,-1.39432557938088e-01
7.94328234724279e+02	-2.25351188120085e-01,-1.90081626393488e-01
8.91250938133743e+02	-4.50733816347739e-01,-2.00454564232935e-01
9.99999999999997e+02	-7.88823903544457e-01,3.90249223449985e-02
1.12201845430196e+03	-7.81565427088923e-01,6.06881723424101e-01
1.25892541179416e+03	-3.93018858039718e-01,8.74003296758401e-01
1.41253754462275e+03	-1.03335517566283e-01,8.71998455626008e-01
1.58489319246111e+03	6.76378393703266e-02,8.22212743469141e-01
1.77827941003892e+03	1.81870432045204e-01,7.78273742544744e-01
1.99526231496887e+03	2.71028013533674e-01,7.44367042208300e-01
2.23872113856833e+03	3.48660367621528e-01,7.16783716055138e-01
2.51188643150957e+03	4.20366677835857e-01,6.91716687642391e-01
2.81838293126444e+03	4.88170606376320e-01,6.66429367144033e-01
3.16227766016837e+03	5.52425744943058e-01,6.39261197859995e-01
3.54813389233574e+03	6.12746718865950e-01,6.09448844057651e-01
3.98107170553496e+03	6.68517948947984e-01,5.76921590676900e-01
4.46683592150961e+03	7.19181457356502e-01,5.42094627141750e-01
5.01187233627270e+03	7.64384052779169e-01,5.05673147630518e-01
5.62341325190347e+03	8.04027000324837e-01,4.68483094452544e-01
6.30957344480190e+03	8.38251384953925e-01,4.31341278302071e-01
7.07945784384135e+03	8.67387888801474e-01,3.94969608990586e-01
7.94328234724278e+03	8.91893851002532e-01,3.59949952749946e-01
8.91250938133741e+03	9.12293084589786e-01,3.26710834771633e-01
9.99999999999995e+03	9.29126740476204e-01,2.95535506194334e-01
1.12201845430196e+04	9.42917945178964e-01,2.66581875129001e-01
1.25892541179416e+04	9.54149453423231e-01,2.39907093480096e-01
1.41253754462275e+04	9.63251880045643e-01,2.15492096668349e-01
1.58489319246111e+04	9.70599640856059e-01,1.93263500200781e-01
1.77827941003891e+04	9.76511985355657e-01,1.73111761218625e-01
1.99526231496887e+04	9.81257039956156e-01,1.54905450279896e-01
2.23872113856833e+04	9.85057356597047e-01,1.38501981502470e-01
2.51188643150957e+04	9.88095961974311e-01,1.23755362120158e-01
2.81838293126444e+04	9.90522288927201e-01,1.10521563534093e-01
3.16227766016836e+04	9.92457646665634e-01,9.86620679414934e-02
3.54813389233573e+04	9.94000069952533e-01,8.80460596210715e-02
3.98107170553495e+04	9.95228502122908e-01,7.85516374001775e-02
4.46683592150960e+04	9.96206333527145e-01,7.00663394308616e-02
5.01187233627269e+04	9.96984351834827e-01,6.24871990823434e-02
5.62341325190346e+04	9.97603175418759e-01,5.57204926638476e-02
6.30957344480189e+04	9.98095243873711e-01,4.96812946716693e-02
7.07945784384133e+04	9.98486435952651e-01,4.42929222659211e-02
7.94328234724276e+04	9.98797378197909e-01,3.94863255350958e-02
8.91250938133740e+04	9.99044499342708e-01,3.51994618052802e-02
1.00000000000000e+05	9.99240877324468e-01,3.13766791225929e-02
