Freq.	V(n003)
1.00000000000000e+01	9.97805360814582e-01,-1.99306822455522e-02
1.12201845430196e+01	9.97753930071531e-01,-2.23623086269349e-02
1.25892541179417e+01	9.97689182556569e-01,-2.50905208675537e-02
1.41253754462275e+01	9.97607670192087e-01,-2.81514594694402e-02
1.58489319246111e+01	9.97505052089503e-01,-3.15856547566335e-02
1.77827941003892e+01	9.97375863368122e-01,-3.54385542691277e-02
1.99526231496888e+01	9.97213224109386e-01,-3.97611111068562e-02
2.23872113856834e+01	9.97008472942254e-01,-4.46104392571715e-02
2.51188643150958e+01	9.96750705738530e-01,-5.00505420962728e-02
2.81838293126445e+01	9.96426194838253e-01,-5.61531201920425e-02
3.16227766016838e+01	9.96017657853537e-01,-6.29984641271354e-02
3.54813389233575e+01	9.95503337072595e-01,-7.06764371249750e-02
3.98107170553497e+01	9.94855840370897e-01,-7.92875505353506e-02
4.46683592150963e+01	9.94040681785486e-01,-8.89441323439858e-02
5.01187233627272e+01	9.93014443824115e-01,-9.97715842719008e-02
5.62341325190348e+01	9.91722463273155e-01,-1.11909715952162e-01
6.30957344480192e+01	9.90095916592803e-01,-1.25514134004730e-01
7.07945784384137e+01	9.88048148459285e-01,-1.40757647980250e-01
7.94328234724280e+01	9.85470045674984e-01,-1.57831631806972e-01
8.91250938133744e+01	9.82224205893570e-01,-1.76947245194350e-01
9.99999999999998e+01	9.78137582787044e-01,-1.98336369465569e-01
1.12201845430196e+02	9.72992201300396e-01,-2.22252039050421e-01
1.25892541179416e+02	9.66513421017436e-01,-2.48968041843950e-01
1.41253754462275e+02	9.58355071131134e-01,-2.78777200392578e-01
1.58489319246111e+02	9.48080569741072e-01,-3.11987600682791e-01
1.77827941003892e+02	9.35138846431795e-01,-3.48915652589631e-01
1.99526231496888e+02	9.18833470122038e-01,-3.89874248076579e-01
2.23872113856833e+02	8.98282788811576e-01,-4.35153244844296e-01
2.51188643150957e+02	8.72368056630797e-01,-4.84987683284202e-01
2.81838293126445e+02	8.39665462155323e-01,-5.39505828861300e-01
3.16227766016837e+02	7.98356980453592e-01,-5.98642909335576e-01
3.54813389233575e+02	7.46115360922631e-01,-6.61994572384422e-01
3.98107170553496e+02	6.79964707884485e-01,-7.28561769009783e-01
4.46683592150962e+02	5.96142928787320e-01,-7.96298835948456e-01
5.01187233627271e+02	4.90070444581375e-01,-8.61315092122297e-01
5.62341325190348e+02	3.56741969397532e-01,-9.16527133642644e-01
6.30957344480192e+02	1.92342179851348e-01,-9.49691496127427e-01
7.07945784384136e+02	-1.36876032432753e-03,-9.41672566162560e-01
7.94328234724279e+02	-2.08601594411311e-01,-8.68644570968481e-01
8.91250938133743e+02	-3.91447738080207e-01,-7.15485782542745e-01
9.99999999999997e+02	-4.99359641552294e-01,-4.99833496013625e-01
1.12201845430196e+03	-5.06167001234616e-01,-2.77606603545081e-01
1.25892541179416e+03	-4.35146734342606e-01,-1.05065601500135e-01
1.41253754462275e+03	-3.34090140831138e-01,-9.70263623085138e-04
1.58489319246111e+03	-2.38657683458422e-01,4.79332138467244e-02
1.77827941003892e+03	-1.63152029023141e-01,6.31818288247339e-02
1.99526231496887e+03	-1.08607687411471e-01,6.15451818122280e-02
2.23872113856833e+03	-7.11224200348527e-02,5.30550918301782e-02
2.51188643150957e+03	-4.60894876008354e-02,4.28731420687709e-02
2.81838293126444e+03	-2.96596635643961e-02,3.33237539672189e-02
3.16227766016837e+03	-1.89945190842101e-02,2.52546807561148e-02
3.54813389233574e+03	-1.21221667559373e-02,1.88108341605218e-02
3.98107170553496e+03	-7.71643359247337e-03,1.38397162408371e-02
4.46683592150961e+03	-4.90242888598599e-03,1.00911615811155e-02
5.01187233627270e+03	-3.11000551344337e-03,7.30878973094109e-03
5.62341325190347e+03	-1.97065975398809e-03,5.26682893831904e-03
6.30957344480190e+03	-1.24759173707057e-03,3.78067951986650e-03
7.07945784384135e+03	-7.89273843706674e-04,2.70577811501094e-03
7.94328234724278e+03	-4.99048032370421e-04,1.93199686853108e-03
8.91250938133741e+03	-3.15403945069592e-04,1.37700027258157e-03
9.99999999999995e+03	-1.99269942114355e-04,9.80043678825677e-04
1.12201845430196e+04	-1.25862877232069e-04,6.96743125222546e-04
1.25892541179416e+04	-7.94802794952652e-05,4.94901392762703e-04
1.41253754462275e+04	-5.01818295973965e-05,3.51288431179026e-04
1.58489319246111e+04	-3.16792148112655e-05,2.49213377533296e-04
1.77827941003891e+04	-1.99965634110030e-05,1.76722100624572e-04
1.99526231496887e+04	-1.26211535446253e-05,1.25274175442510e-04
2.23872113856833e+04	-7.96550199985650e-06,8.87798356104841e-05
2.51188643150957e+04	-5.02694072218996e-06,6.29033336492075e-05
2.81838293126444e+04	-3.17231078586400e-06,4.45614049242626e-05
3.16227766016836e+04	-2.00185622425841e-06,3.15635101753833e-05
3.54813389233573e+04	-1.26321791859050e-06,2.23545053216920e-05
3.98107170553495e+04	-7.97102796272876e-07,1.58309802423357e-05
4.46683592150960e+04	-5.02971028797704e-07,1.12104012801460e-05
5.01187233627269e+04	-3.17369886726539e-07,7.93800149211297e-06
5.62341325190346e+04	-2.00255191736647e-07,5.62059983868723e-06
6.30957344480189e+04	-1.26356659295210e-07,3.97960021013633e-06
7.07945784384133e+04	-7.97277548180596e-08,2.81763374998602e-06
7.94328234724276e+04	-5.03058612538405e-08,1.99489645269014e-06
8.91250938133740e+04	-3.17413782707814e-08,1.41237104900261e-06
1.00000000000000e+05	-2.00277191894182e-08,9.99934155191248e-07
