Freq.	V(n003)
1.00000000000000e+01	(-1.73509332662405e-02dB,-1.14430347360176e+00°)
1.12201845430196e+01	(-1.73500278209495e-02dB,-1.28393523937902e+00°)
1.25892541179417e+01	(-1.73488879983052e-02dB,-1.44060697832433e+00°)
1.41253754462275e+01	(-1.73474531516263e-02dB,-1.61639883952359e+00°)
1.58489319246111e+01	(-1.73456469556970e-02dB,-1.81364518413888e+00°)
1.77827941003892e+01	(-1.73433733628268e-02dB,-2.03496576738897e+00°)
1.99526231496888e+01	(-1.73405115221192e-02dB,-2.28330079292240e+00°)
2.23872113856834e+01	(-1.73369094010262e-02dB,-2.56195034013575e+00°)
2.51188643150958e+01	(-1.73323757861213e-02dB,-2.87461873775935e+00°)
2.81838293126445e+01	(-1.73266702662387e-02dB,-3.22546454359778e+00°)
3.16227766016838e+01	(-1.73194907173716e-02dB,-3.61915689446012e+00°)
3.54813389233575e+01	(-1.73104577182400e-02dB,-4.06093911721260e+00°)
3.98107170553497e+01	(-1.72990952424029e-02dB,-4.55670064868395e+00°)
4.46683592150963e+01	(-1.72848069256904e-02dB,-5.11305850884851e+00°)
5.01187233627272e+01	(-1.72668472598409e-02dB,-5.73744982245612e+00°)
5.62341325190348e+01	(-1.72442873460259e-02dB,-6.43823720932098e+00°)
6.30957344480192e+01	(-1.72159756199748e-02dB,-7.22482929214290e+00°)
7.07945784384137e+01	(-1.71804957682109e-02dB,-8.10781914594086e+00°)
7.94328234724280e+01	(-1.71361279606001e-02dB,-9.09914429851674e+00°)
8.91250938133744e+01	(-1.70808276528896e-02dB,-1.02122729821002e+01°)
9.99999999999998e+01	(-1.70122527976260e-02dB,-1.14624228767536e+01°)
1.12201845430196e+02	(-1.69279037585310e-02dB,-1.28668207970478e+01°)
1.25892541179416e+02	(-1.68255072905122e-02dB,-1.44450149957604e+01°)
1.41253754462275e+02	(-1.67039099244208e-02dB,-1.62192565211618e+01°)
1.58489319246111e+02	(-1.65650132403375e-02dB,-1.82149731917578e+01°)
1.77827941003892e+02	(-1.64178156975790e-02dB,-2.04613705224746e+01°)
1.99526231496888e+02	(-1.62866853623294e-02dB,-2.29922103080308e+01°)
2.23872113856833e+02	(-1.62280970840434e-02dB,-2.58468424610408e+01°)
2.51188643150957e+02	(-1.63642633202315e-02dB,-2.90716032141600e+01°)
2.81838293126445e+02	(-1.69504224756545e-02dB,-3.27217479630563e+01°)
3.16227766016837e+02	(-1.85090563927479e-02dB,-3.68641638378875e+01°)
3.54813389233575e+02	(-2.20967996814258e-02dB,-4.15812011250896e+01°)
3.98107170553496e+02	(-2.98329229733046e-02dB,-4.69760384261814e+01°)
4.46683592150962e+02	(-4.59375750023755e-02dB,-5.31799236313208e+01°)
5.01187233627271e+02	(-7.87403807820424e-02dB,-6.03610204285991e+01°)
5.62341325190348e+02	(-1.44447300252589e-01dB,-6.87324049723142e+01°)
6.30957344480192e+02	(-2.73762888918864e-01dB,-7.85506852882014e+01°)
7.07945784384136e+02	(-5.21992459086085e-01dB,-9.00832817449886e+01°)
7.94328234724279e+02	(-9.79655359002352e-01dB,-1.03503647304237e+02°)
8.91250938133743e+02	(-1.77079597128217e+00dB,-1.18683406115678e+02°)
9.99999999999997e+02	(-3.01731012685962e+00dB,-1.34972828217407e+02°)
1.12201845430196e+03	(-4.77203179761141e+00dB,-1.51257493852244e+02°)
1.25892541179416e+03	(-6.98120788331715e+00dB,-1.66425810298792e+02°)
1.41253754462275e+03	(-9.52269017863784e+00dB,-1.79833602230266e+02°)
1.58489319246111e+03	(-1.22727439021484e+01dB,1.68643519645344e+02°)
1.77827941003892e+03	(-1.51412917824184e+01dB,1.58830737294966e+02°)
1.99526231496887e+03	(-1.80733668996484e+01dB,1.50460888056717e+02°)
