time	V(n003)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-03	0.000000e+00
1.000003887499402e-03	1.133629e-16
1.000011662498205e-03	7.900002e-16
1.000018564441877e-03	2.563734e-15
1.000025705734182e-03	7.156053e-15
1.000033565951590e-03	1.899351e-14
1.000044596451291e-03	5.621912e-14
1.000058448156861e-03	1.623951e-13
1.000077357623301e-03	4.902761e-13
1.000101546520499e-03	1.447198e-12
1.000134023900629e-03	4.366978e-12
1.000176105265887e-03	1.299860e-11
1.000232116268604e-03	3.914626e-11
1.000305201429815e-03	1.083878e-10
1.000372354612836e-03	2.318931e-10
1.000455553688450e-03	5.123776e-10
1.000549949968517e-03	1.083805e-09
1.000668932623853e-03	2.364763e-09
1.000808650789537e-03	5.044403e-09
1.000981937086934e-03	9.909860e-09
1.001000000000000e-03	1.055925e-08
1.001144427716403e-03	1.858390e-08
1.001309487963721e-03	3.354524e-08
1.001628110179750e-03	7.988314e-08
1.001981194310704e-03	1.687849e-07
1.002501861688491e-03	3.956237e-07
1.003119789482833e-03	8.643372e-07
1.003993012463653e-03	2.009336e-06
1.005083523132270e-03	4.489512e-06
1.006582597583232e-03	1.038227e-05
1.008507345762349e-03	2.348289e-05
1.011117080208583e-03	5.417122e-05
1.014530123517235e-03	1.235493e-04
1.019142166359852e-03	2.853214e-04
1.025272916943848e-03	6.562130e-04
1.033614052478620e-03	1.500360e-03
1.043379677478620e-03	3.054601e-03
1.053145302478620e-03	5.342685e-03
1.062910927478620e-03	8.497970e-03
1.072676552478620e-03	1.261361e-02
1.082442177478620e-03	1.776440e-02
1.092207802478620e-03	2.400814e-02
1.101973427478620e-03	3.138695e-02
1.111739052478620e-03	3.992857e-02
1.121504677478620e-03	4.964756e-02
1.131270302478620e-03	6.054645e-02
1.141035927478620e-03	7.261689e-02
1.150801552478620e-03	8.584068e-02
1.160567177478620e-03	1.001908e-01
1.170332802478620e-03	1.156324e-01
1.180098427478620e-03	1.321236e-01
1.189864052478620e-03	1.496166e-01
1.199629677478620e-03	1.680581e-01
1.219160927478620e-03	2.075525e-01
1.238692177478620e-03	2.501045e-01
1.258223427478620e-03	2.951727e-01
1.277754677478620e-03	3.421943e-01
1.307051552478620e-03	4.151502e-01
1.336348427478620e-03	4.893590e-01
1.365645302478620e-03	5.630755e-01
1.380991284621478e-03	6.013456e-01
1.396337266764335e-03	6.384426e-01
1.411683248907192e-03	6.743667e-01
1.427029231050049e-03	7.091179e-01
1.442375213192906e-03	7.426961e-01
1.457721195335763e-03	7.751014e-01
1.473067177478621e-03	8.063337e-01
1.488413159621478e-03	8.357057e-01
1.503759141764335e-03	8.633282e-01
1.519105123907192e-03	8.892012e-01
1.534451106050049e-03	9.133247e-01
1.549797088192906e-03	9.356987e-01
1.565143070335763e-03	9.563232e-01
1.580489052478621e-03	9.751981e-01
1.600020302478621e-03	9.966357e-01
1.609785927478621e-03	1.006308e+00
1.619551552478621e-03	1.015298e+00
1.629317177478621e-03	1.023616e+00
1.639082802478621e-03	1.031277e+00
1.648848427478621e-03	1.038297e+00
