Freq.	V(n003)
1.00000000000000e+01	9.97664419990515e-01,-2.60493467323060e-02
1.12201845430196e+01	9.97576499275197e-01,-2.92270979474848e-02
1.25892541179417e+01	9.97465815472197e-01,-3.27922841286191e-02
1.41253754462275e+01	9.97326475704029e-01,-3.67920518820539e-02
1.58489319246111e+01	9.97151061900032e-01,-4.12792479257646e-02
1.77827941003892e+01	9.96930236249236e-01,-4.63130928897889e-02
1.99526231496888e+01	9.96652244707953e-01,-5.19599283726393e-02
2.23872113856834e+01	9.96302292290451e-01,-5.82940424955458e-02
2.51188643150958e+01	9.95861757141573e-01,-6.53985783106582e-02
2.81838293126445e+01	9.95307201960871e-01,-7.33665277960794e-02
3.16227766016838e+01	9.94609130803503e-01,-8.23018114599675e-02
3.54813389233575e+01	9.93730426115902e-01,-9.23204392780741e-02
3.98107170553497e+01	9.92624384457338e-01,-1.03551742091439e-01
4.46683592150963e+01	9.91232248972851e-01,-1.16139652679559e-01
5.01187233627272e+01	9.89480111445714e-01,-1.30244001058258e-01
5.62341325190348e+01	9.87275025662394e-01,-1.46041767084857e-01
6.30957344480192e+01	9.84500135748723e-01,-1.63728202283662e-01
7.07945784384137e+01	9.81008576902932e-01,-1.83517687815877e-01
7.94328234724280e+01	9.76615850439423e-01,-2.05644130872845e-01
8.91250938133744e+01	9.71090309434491e-01,-2.30360609191268e-01
9.99999999999998e+01	9.64141315393104e-01,-2.57937841123634e-01
1.12201845430196e+02	9.55404541485754e-01,-2.88660870045008e-01
1.25892541179416e+02	9.44423807833863e-01,-3.22823083032567e-01
1.41253754462275e+02	9.30628747269083e-01,-3.60716300606450e-01
1.58489319246111e+02	9.13307531561691e-01,-4.02615127524290e-01
1.77827941003892e+02	8.91573865938345e-01,-4.48752971550784e-01
1.99526231496888e+02	8.64327530724963e-01,-4.99286007648454e-01
2.23872113856833e+02	8.30207991469778e-01,-5.54239713922827e-01
2.51188643150957e+02	7.87541145862329e-01,-6.13430134101165e-01
2.81838293126445e+02	7.34280371065603e-01,-6.76348175159955e-01
3.16227766016837e+02	6.67945200625484e-01,-7.41988913467602e-01
3.54813389233575e+02	5.85565543192947e-01,-8.08596689892684e-01
3.98107170553496e+02	4.83650360764284e-01,-8.73275644280939e-01
4.46683592150962e+02	3.58229832648065e-01,-9.31374085317838e-01
5.01187233627271e+02	2.05109469356314e-01,-9.75474001160206e-01
5.62341325190348e+02	2.07448861342616e-02,-9.93706121241418e-01
6.30957344480192e+02	-1.95084032620590e-01,-9.67143032116545e-01
7.07945784384136e+02	-4.31844351805702e-01,-8.67256092312672e-01
7.94328234724279e+02	-6.51678792016873e-01,-6.60636768393530e-01
8.91250938133743e+02	-7.72011548669194e-01,-3.42403303095932e-01
9.99999999999997e+02	-7.05998911497791e-01,-4.28661328917612e-04
1.12201845430196e+03	-4.87339961705304e-01,2.15378524646729e-01
1.25892541179416e+03	-2.59824942379049e-01,2.62593805250566e-01
1.41253754462275e+03	-1.08860197058866e-01,2.17690627370421e-01
1.58489319246111e+03	-3.12049928821709e-02,1.53287976663893e-01
1.77827941003892e+03	1.89815927663274e-03,9.94406385211908e-02
1.99526231496887e+03	1.28467662647860e-02,6.16266927308922e-02
2.23872113856833e+03	1.42166311984765e-02,3.71435451700870e-02
2.51188643150957e+03	1.21310238860256e-02,2.19826082640899e-02
2.81838293126444e+03	9.27593693533115e-03,1.28468409851558e-02
3.16227766016837e+03	6.68031372960740e-03,7.43997542338795e-03
3.54813389233574e+03	4.63565637863480e-03,4.27988545362588e-03
3.98107170553496e+03	3.13808397303690e-03,2.44960975229119e-03
4.46683592150961e+03	2.08778146460651e-03,1.39664213864563e-03
5.01187233627270e+03	1.37169663602746e-03,7.93928129547650e-04
5.62341325190347e+03	8.92894265430947e-04,4.50271368238027e-04
6.30957344480190e+03	5.77176576486609e-04,2.54908927483382e-04
7.07945784384135e+03	3.71113176878524e-04,1.44106288805865e-04
7.94328234724278e+03	2.37643993019508e-04,8.13765705253413e-05
8.91250938133741e+03	1.51694842821312e-04,4.59131114205967e-05
9.99999999999995e+03	9.65923679531752e-05,2.58865987348405e-05
1.12201845430196e+04	6.13870028025860e-05,1.45873694599465e-05
1.25892541179416e+04	3.89540118674421e-05,8.21659911445584e-06
1.41253754462275e+04	2.46893933971979e-05,4.62657151072715e-06
1.58489319246111e+04	1.56336604679901e-05,2.60440948605032e-06
1.77827941003891e+04	9.89210724244062e-06,1.46577182228841e-06
1.99526231496887e+04	6.25550403758239e-06,8.24802198333098e-07
2.23872113856833e+04	3.95397838609590e-06,4.64060731772163e-07
2.51188643150957e+04	2.49831207253290e-06,2.61067895379330e-07
2.81838293126444e+04	1.57809309276147e-06,1.46857225621468e-07
3.16227766016836e+04	9.96594043423154e-07,8.26053093978314e-08
3.54813389233573e+04	6.29251749344584e-07,4.64619481982928e-08
3.98107170553495e+04	3.97253272113650e-07,2.61317478385319e-08
4.46683592150960e+04	2.50761272678599e-07,1.46968709706213e-08
5.01187233627269e+04	1.58275504251861e-07,8.26551073143241e-09
5.62341325190346e+04	9.98930784252491e-08,4.64841920412868e-09
6.30957344480189e+04	6.30422986027941e-08,2.61416837736449e-09
7.07945784384133e+04	3.97840317616654e-08,1.47013091810833e-09
7.94328234724276e+04	2.51055506972621e-08,8.26749320412694e-10
8.91250938133740e+04	1.58422976528996e-08,4.64930474105384e-10
1.00000000000000e+05	9.99669919589612e-09,2.61456393178892e-10
