Freq.	V(n003)
1.00000000000000e+01	9.97249453931783e-01,-3.12642694552713e-02
1.12201845430196e+01	9.97054261216529e-01,-3.50733836053554e-02
1.25892541179417e+01	9.96808631182362e-01,-3.93449305504801e-02
1.41253754462275e+01	9.96499564469384e-01,-4.41343691635354e-02
1.58489319246111e+01	9.96110730910588e-01,-4.95035287672284e-02
1.77827941003892e+01	9.95621627487024e-01,-5.55212245151198e-02
1.99526231496888e+01	9.95006530061679e-01,-6.22638823431748e-02
2.23872113856834e+01	9.94233192284635e-01,-6.98161486209410e-02
2.51188643150958e+01	9.93261236850204e-01,-7.82714466118953e-02
2.81838293126445e+01	9.92040176091974e-01,-8.77324236982487e-02
3.16227766016838e+01	9.90506991873825e-01,-9.83112083736295e-02
3.54813389233575e+01	9.88583200887862e-01,-1.10129362272524e-01
3.98107170553497e+01	9.86171334141174e-01,-1.23317367804689e-01
4.46683592150963e+01	9.83150773891664e-01,-1.38013434252895e-01
5.01187233627272e+01	9.79372925622086e-01,-1.54361333300658e-01
5.62341325190348e+01	9.74655768514127e-01,-1.72506889975056e-01
6.30957344480192e+01	9.68777941388999e-01,-1.92592662721866e-01
7.07945784384137e+01	9.61472702703929e-01,-2.14750261263637e-01
7.94328234724280e+01	9.52422375911338e-01,-2.39089702110105e-01
8.91250938133744e+01	9.41254274884675e-01,-2.65685240566406e-01
9.99999999999998e+01	9.27539601407078e-01,-2.94557326946096e-01
1.12201845430196e+02	9.10797380887035e-01,-3.25650830693513e-01
1.25892541179416e+02	8.90506038992973e-01,-3.58810603090231e-01
1.41253754462275e+02	8.66125481745802e-01,-3.93756940566719e-01
1.58489319246111e+02	8.37132122863600e-01,-4.30065604824550e-01
1.77827941003892e+02	8.03067653488375e-01,-4.67159555235129e-01
1.99526231496888e+02	7.63598902488504e-01,-5.04321851786796e-01
2.23872113856833e+02	7.18580611436022e-01,-5.40740205826367e-01
2.51188643150957e+02	6.68105783262140e-01,-5.75592028043631e-01
2.81838293126445e+02	6.12520842975296e-01,-6.08173619168060e-01
3.16227766016837e+02	5.52376908469393e-01,-6.38069013855447e-01
3.54813389233575e+02	4.88283846429689e-01,-6.65346019137978e-01
3.98107170553496e+02	4.20623765818865e-01,-6.90763868980969e-01
4.46683592150962e+02	3.49043308547324e-01,-7.15979818755385e-01
5.01187233627271e+02	2.71522965008829e-01,-7.43731591063246e-01
5.62341325190348e+02	1.82470251956913e-01,-7.77839004409964e-01
6.30957344480192e+02	6.83352926584616e-02,-8.22051541889434e-01
7.07945784384136e+02	-1.02606175391935e-01,-8.72284533971774e-01
7.94328234724279e+02	-3.92682061394647e-01,-8.75018580673443e-01
8.91250938133743e+02	-7.82785701763500e-01,-6.07922336179793e-01
9.99999999999997e+02	-7.90149549171042e-01,-3.81119178934116e-02
1.12201845430196e+03	-4.50768555226150e-01,2.01483332952932e-01
1.25892541179416e+03	-2.25067236347493e-01,1.90621639283290e-01
1.41253754462275e+03	-1.15761143920147e-01,1.39707540215020e-01
1.58489319246111e+03	-6.24733385547636e-02,9.70952023849993e-02
1.77827941003892e+03	-3.50678279868393e-02,6.68101469074316e-02
1.99526231496887e+03	-2.02671431588686e-02,4.60249877049598e-02
2.23872113856833e+03	-1.19658622245517e-02,3.18300282665323e-02
2.51188643150957e+03	-7.17660261156484e-03,2.21047642785282e-02
2.81838293126444e+03	-4.35485703301273e-03,1.54079054808550e-02
3.16227766016837e+03	-2.66596125264245e-03,1.07732667172254e-02
3.54813389233574e+03	-1.64301869072258e-03,7.55174248078003e-03
3.98107170553496e+03	-1.01779865443751e-03,5.30429543542740e-03
4.46683592150961e+03	-6.33000202270721e-04,3.73174102526321e-03
5.01187233627270e+03	-3.94896776964568e-04,2.62878436832395e-03
5.62341325190347e+03	-2.46948823427257e-04,1.85371559871839e-03
6.30957344480190e+03	-1.54720365315217e-04,1.30823051290055e-03
7.07945784384135e+03	-9.70799830973008e-05,9.23858855209877e-04
7.94328234724278e+03	-6.09841513839365e-05,6.52753675138887e-04
8.91250938133741e+03	-3.83444557075291e-05,4.61391388162546e-04
9.99999999999995e+03	-2.41269669494853e-05,3.26234356307585e-04
1.12201845430196e+04	-1.51897840607653e-05,2.30728411681536e-04
1.25892541179416e+04	-9.56747453924115e-06,1.63215240881008e-04
1.41253754462275e+04	-6.02835662881855e-06,1.15475648873502e-04
1.58489319246111e+04	-3.79947957011816e-06,8.17101007334955e-05
1.77827941003891e+04	-2.39523017721920e-06,5.78236173901290e-05
1.99526231496887e+04	-1.51024740458838e-06,4.09232248564857e-05
2.23872113856833e+04	-9.52380711952105e-07,2.89642510214092e-05
2.51188643150957e+04	-6.00650730741879e-07,2.05010866676526e-05
2.81838293126444e+04	-3.78854336387596e-07,1.45113906478470e-05
3.16227766016836e+04	-2.38975481160385e-07,1.02720031181944e-05
3.54813389233573e+04	-1.50750549601268e-07,7.27130458745785e-06
3.98107170553495e+04	-9.51007407053532e-08,5.14728643843690e-06
4.46683592150960e+04	-5.99962807723763e-08,3.64377313816257e-06
5.01187233627269e+04	-3.78509701325490e-08,2.57946641727210e-06
5.62341325190346e+04	-2.38802811435677e-08,1.82605072959562e-06
6.30957344480189e+04	-1.50664032410010e-08,1.29270462824982e-06
7.07945784384133e+04	-9.50573884159335e-09,9.15142137370326e-07
7.94328234724276e+04	-5.99745567493008e-09,6.47858279001906e-07
8.91250938133740e+04	-3.78400837588037e-09,4.58641373856839e-07
1.00000000000000e+05	-2.38748256009411e-09,3.24689198831771e-07
