time	V(n003)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-03	0.000000e+00
1.000003887499402e-03	3.680231e-17
1.000011662498205e-03	2.564769e-16
1.000018564844837e-03	8.571613e-16
1.000026338289050e-03	2.547013e-15
1.000034090150438e-03	6.567168e-15
1.000045629281314e-03	1.994140e-14
1.000059487144154e-03	5.661637e-14
1.000079059784296e-03	1.734510e-13
1.000103477447231e-03	5.069381e-13
1.000136883191663e-03	1.542058e-12
1.000179566976725e-03	4.564458e-12
1.000236975452578e-03	1.380810e-11
1.000311304600840e-03	3.824262e-11
1.000381462805534e-03	8.300300e-11
1.000465633939170e-03	1.817405e-10
1.000563038051996e-03	3.868328e-10
1.000683902716386e-03	8.397165e-10
1.000827475699387e-03	1.792581e-09
1.001000000000000e-03	3.436358e-09
1.001126384240760e-03	5.399813e-09
1.001252768481520e-03	8.713935e-09
1.001379152722281e-03	1.337872e-08
1.001505536963041e-03	1.939418e-08
1.001631921203801e-03	2.676030e-08
1.001758305444561e-03	3.547708e-08
1.001884689685321e-03	4.554453e-08
1.002364472057295e-03	1.051750e-07
1.002948059827293e-03	2.313685e-07
1.003753788701084e-03	5.328740e-07
1.004773042251566e-03	1.194423e-06
1.006153938908408e-03	2.745157e-06
1.007935079219514e-03	6.210835e-06
1.010322333972228e-03	1.424752e-05
1.013437432107971e-03	3.240320e-05
1.017593145288577e-03	7.429316e-05
1.023061640120584e-03	1.696327e-04
1.030358560222244e-03	3.894455e-04
1.040045027795576e-03	8.676219e-04
1.049810652795576e-03	1.610223e-03
1.059576277795576e-03	2.683425e-03
1.069341902795576e-03	4.142217e-03
1.079107527795576e-03	6.037154e-03
1.088873152795577e-03	8.414801e-03
1.098638777795577e-03	1.131770e-02
1.108404402795577e-03	1.478437e-02
1.118170027795577e-03	1.884925e-02
1.127935652795577e-03	2.354276e-02
1.137701277795577e-03	2.889131e-02
1.147466902795577e-03	3.491729e-02
1.157232527795577e-03	4.163918e-02
1.166998152795577e-03	4.907154e-02
1.176763777795577e-03	5.722510e-02
1.186529402795577e-03	6.610686e-02
1.196295027795577e-03	7.572015e-02
1.206060652795577e-03	8.606471e-02
1.215826277795577e-03	9.713684e-02
1.225591902795577e-03	1.089295e-01
1.235357527795577e-03	1.214323e-01
1.245123152795577e-03	1.346320e-01
1.264654402795577e-03	1.630535e-01
1.284185652795577e-03	1.940300e-01
1.303716902795577e-03	2.273574e-01
1.333013777795577e-03	2.812238e-01
1.362310652795577e-03	3.389038e-01
1.391607527795577e-03	3.993571e-01
1.420904402795577e-03	4.614738e-01
1.450201277795577e-03	5.241152e-01
1.479498152795577e-03	5.861514e-01
1.492053956367005e-03	6.124643e-01
1.504609759938434e-03	6.381984e-01
1.517165563509863e-03	6.633535e-01
1.529721367081291e-03	6.879298e-01
1.542277170652720e-03	7.119272e-01
1.554832974224148e-03	7.353457e-01
1.567388777795577e-03	7.581854e-01
1.586920027795577e-03	7.918187e-01
1.596685652795577e-03	8.078406e-01
1.606451277795577e-03	8.233029e-01
1.616216902795577e-03	8.381857e-01
